Symbol;Nazwa;Dziedzina;DataRozp;DataZakon
P1;Opracowanie planow na 2011 rok;zarzadzanie;2010-01-01;2010-11-30
P2;Opracowanie strategii na lata 2012-2013;zarzadzanie;2010-01-01;2011-11-16
S1;Przeprowadzenie szkolen z zakresu obslugi komputerow;szkolenie;2010-02-15;2010-10-15
S2;Przeszkolenie pracownikow dzialu finansowego;szkolenie;2010-02-20;2010-06-29
S3;Organizacja kursu jezyka angielskiego;szkolenie;2010-01-01;2010-12-31
U1;Konserwacja i modernizacja systemu informacyjnego;informatyka;2010-01-01;2011-04-01
Z1;Opracowanie planu dostaw sprzetu komputerowego;informatyka;2010-02-24;2010-12-31
Z2;Dostawy materialow do produkcji w 2010 roku;zaopatrzenie;2010-01-01;2010-12-31
Z3;Dostawy materialow do produkcji w 2011 roku;zaopatrzenie;2011-01-01;2011-12-31
Z4;Przygotowanie przetargu na dostawe materialow biurowych;zaopatrzenie;2010-01-01;2010-12-31
